gid,created_at,title,current_price,original_price,image_url,rating,review_count,url,categories
www.walmart.com-1d8cb1d3994004de8c4d6f54bacbbeb2,2022-03-11T16:59:49.866225Z,War Room (Blu-ray),$7.99,$7.99,https://i5.walmartimages.com/asr/3bace364-2b3c-4e8c-898a-998bad0f3d91.9b394fecbb33f963addb0bb65b390e17.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,4.9,53,https://www.walmart.com/ip/War-Room-Blu-ray/47334641,[Movies & TV Shows Movies Action Movies Action Drama Movies]
www.walmart.com-89aeecf23d1b76bcd0f001e3e2a2bfe3,2022-03-11T17:08:19.41478Z,My Name Is Bill W. (DVD),$14.98,$14.98,https://i5.walmartimages.com/asr/f3a47229-a25e-47b1-abb0-dc645f0caf00_1.7357f77ccca4bc278624d0e3078bbdce.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.8,8,https://www.walmart.com/ip/My-Name-Is-Bill-W-DVD/4786941,[Movies & TV Shows Warner Brothers Movies All Warner Brothers Movies]
www.walmart.com-0a5b76c94eaaaa87b14e7fec9bc05be6,2022-03-11T17:39:44.764103Z,FernGully: The Last Rainforest (DVD),$7.63,$7.63,https://i5.walmartimages.com/asr/4a4f22fb-0699-410d-8d18-50026c85271d_1.2c34a7a9deb1dd435c95bb627373c295.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,4.5,39,https://www.walmart.com/ip/FernGully-The-Last-Rainforest-DVD/12164619?athbdg=L1200,[Movies & TV Shows Blu-ray Movies Children & Family]
www.walmart.com-adc0e96e613a7877607f1a6e16aec3ab,2022-03-11T17:53:08.152264Z,Gold Diggers: The Secret of Bear Mountain (DVD),$7.99,$7.99,https://i5.walmartimages.com/asr/195e3876-239e-42b5-ba09-45730dd2262f_1.2627cdea606909cb84af3309eae7a62e.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,5.0,3,https://www.walmart.com/ip/Gold-Diggers-The-Secret-of-Bear-Mountain-DVD/55821189,[Movies & TV Shows Movies Kids Movies Family Drama Movies]
www.walmart.com-080b9f86816ae025675b9cef2f34bf7d,2022-03-11T16:09:43.468847Z,Batteries Not Included (DVD),$7.30,$7.30,https://i5.walmartimages.com/asr/33f8b934-6dce-46b2-80c3-534af70b9d2a_1.d09fc6cee32cff8c433bf25f31c7e68d.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.7,96,https://www.walmart.com/ip/Batteries-Not-Included-DVD/1076758,[Movies & TV Shows Movies Science Fiction Movies Comedy]
www.walmart.com-0fdb260fd07ecd1e265060272cdf2df1,2022-03-11T16:51:34.258461Z,We Go Together 2-Pack: Grease / Grease 2 (DVD),$9.52,$9.52,https://i5.walmartimages.com/asr/21b250ea-6779-4ed8-97d8-2a468087ab37.8bbea278a03419eefaa37d74e068dc2b.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,5.0,49,https://www.walmart.com/ip/We-Go-Together-2-Pack-Grease-Grease-2-DVD/151309514,[Movies & TV Shows Movies Musicals All Music & Performance]
www.walmart.com-47cae8e29eeb22ee6c0b117f422d666e,2022-03-11T17:50:12.68568Z,The Meg (DVD),$10.67,$10.67,https://i5.walmartimages.com/asr/a7ab83b0-d10b-4d6b-8125-46cbe06b71c7_1.801251998e37c108dd59e5bff3918129.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,5.0,5,https://www.walmart.com/ip/The-Meg-DVD/308063754,[Movies & TV Shows Warner Brothers Movies All Warner Brothers Movies]
www.walmart.com-4ac53f5d5f41f075591b2fa7863a8255,2022-03-11T17:45:08.471345Z,A Beautiful Mind (DVD),$8.42,$8.42,https://i5.walmartimages.com/asr/21b250ea-6779-4ed8-97d8-2a468087ab37.8bbea278a03419eefaa37d74e068dc2b.jpeg?odnHeight=140&odnWidth=140&odnBg=FFFFFF,4.6,19,https://www.walmart.com/ip/A-Beautiful-Mind-DVD/5001011,[Movies & TV Shows Shop Movies by Format DVD Movies]
www.walmart.com-be414854da752da47bfadca5f86758fe,2022-03-11T17:56:08.584974Z,The New Adventures Of Pippi Longstocking (DVD),$9.05,$9.05,https://i5.walmartimages.com/asr/0942e4b3-dd48-4684-807f-c81a72c9de35_1.f9282687653d202391af28055abada8a.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.6,52,https://www.walmart.com/ip/The-New-Adventures-Of-Pippi-Longstocking-DVD/1124105,[Movies & TV Shows Movies Action Movies Action Drama Movies]
www.walmart.com-4a89192df8da8a30cb4882d0eda5b443,2022-03-11T17:10:05.877883Z,"McFarland, USA (DVD)",$9.61,$9.61,https://i5.walmartimages.com/asr/0358fb5c-01bf-4f7c-a08e-94f5c843fca4_1.722597920173bf7d8aea004f282aeaeb.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,4.6,31,https://www.walmart.com/ip/McFarland-USA-DVD/44389429,[Movies & TV Shows Movies Drama Movies Sports]
